,adult,id,title,original_language,original_title,overview,popularity,release_date,softcore,video,vote_average,vote_count
44,False,1891,The Empire Strikes Back,en,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",15.1836,1980-05-20,False,False,8.393,18823
45,False,1383731,Protector,en,Protector,"Nikki's life is shattered when her daughter is kidnapped. Thrust into the criminal underworld while hunted by cops and military, she must fight to rescue her child.",16.3454,2026-02-20,False,False,8.392,575
46,False,255709,Hope,ko,소원,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",10.7341,2013-10-02,False,False,8.392,913
47,False,4935,Howl's Moving Castle,ja,ハウルの動く城,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",32.748,2004-09-09,False,False,8.386,11415
48,False,770156,Lucy Shimmers and the Prince of Peace,en,Lucy Shimmers and the Prince of Peace,Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.,7.8665,2020-10-19,False,False,8.4,374
49,False,12493,High and Low,ja,天国と地獄,A Yokohama shoe executive faces a wrenching choice when kidnappers mistakenly seize his chauffeur’s son but demand the ransom anyway.,9.6258,1963-03-01,False,False,8.381,1190
50,False,807,Se7en,en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",32.6625,1995-09-22,False,False,8.38,23736
51,False,696374,Gabriel's Inferno,en,Gabriel's Inferno,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",4.0664,2020-05-29,False,False,8.379,2480
52,False,244786,Whiplash,en,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",27.9888,2014-10-10,False,False,8.375,17056
53,False,311,Once Upon a Time in America,en,Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",22.9534,1984-05-23,False,False,8.374,6198
